trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99004983374916811}",20,0,-27.180240770039934,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.98019867330675525}",20,0,-24.448085430630332,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.97044553354850815}",30,0,-190.27709877787643,"{0: 16, 1: 7, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.96078943915232318}",25,0,-55.205239053092605,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.95122942450071402}",20,0,-144.86170419763343,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.94176453358424872}",20,0,-147.02826053562245,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.93239381990594827}",20,0,-46.51674137463902,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.92311634638663576}",25,0,-75.39675423435935,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.91393118527122819}",20,0,-40.34002756839634,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
